MatchID,GameID,Team Name,TeamID,Result,Pistols Won,Potential Thrifties,Thrifties Won
660385,265474,FUT,2059,lost,2,2,0
660385,265475,FUT,2059,won,0,2,1
660385,265475,VIT,1184,lost,2,3,2
660385,265476,VIT,1184,won,1,2,0
660385,265476,FUT,2059,lost,1,2,0
660391,265494,EF,1001,won,1,2,0
660391,265494,TH,6392,lost,1,4,1
660391,265495,TH,6392,won,1,3,1
660391,265495,EF,1001,lost,1,4,1
660391,265496,TH,6392,won,0,4,1
660391,265496,EF,1001,lost,2,5,2
660392,265497,FUT,1184,won,2,3,0
660392,265497,TH,1001,lost,0,2,0
660392,265498,TH,1001,won,2,0,0
660392,265498,FUT,1184,lost,0,5,1
660392,265499,TH,1001,won,1,1,0
660392,265499,FUT,1184,lost,1,2,0
660392,265500,TH,1001,won,2,0,0
660392,265500,FUT,1184,lost,0,3,1
660386,265477,VIT,2059,won,1,3,1
660386,265477,TH,1001,lost,1,1,0
660386,265478,TH,1001,won,1,2,1
660386,265478,VIT,2059,lost,1,2,0
660386,269000,VIT,2059,won,1,2,1
660386,269000,TH,1001,lost,1,2,0
660386,265480,TH,1001,won,1,2,0
660386,265480,VIT,2059,lost,1,1,0
660386,265481,TH,1001,won,1,3,3
660386,265481,VIT,2059,lost,1,3,1
644652,258249,GE,17,won,1,1,0
644652,258249,GEN,918,lost,1,1,0
644652,258250,GE,17,won,2,0,0
644652,258250,GEN,918,lost,0,2,0
644653,258252,T1,14,won,0,3,1
644653,258252,VL,11229,lost,2,1,0
644653,258253,T1,14,won,2,0,0
644653,258253,VL,11229,lost,0,4,0
644654,258255,NS,624,won,1,2,0
644654,258255,PRX,11060,lost,1,3,0
644654,258256,PRX,11060,won,0,2,0
644654,258256,NS,624,lost,2,1,0
644654,258257,PRX,11060,won,2,1,0
644654,258257,NS,624,lost,0,3,0
644655,258258,FS,278,won,0,3,1
644655,258258,DFM,4050,lost,2,4,0
644655,258259,FS,278,won,1,3,1
644655,258259,DFM,4050,lost,1,2,0
644656,258261,KRX,8185,won,2,1,1
644656,258261,TS,6199,lost,0,3,0
644656,258262,KRX,8185,won,1,4,0
644656,258262,TS,6199,lost,1,2,0
644657,258264,ZETA,878,won,1,1,0
644657,258264,RRQ,5448,lost,1,3,1
644657,258265,RRQ,5448,won,1,2,0
644657,258265,ZETA,878,lost,1,3,1
644657,258266,RRQ,5448,won,1,3,0
644657,258266,ZETA,878,lost,1,2,0
644658,258267,T1,14,won,1,1,1
644658,258267,DFM,278,lost,1,3,1
644658,258268,T1,14,won,0,1,0
644658,258268,DFM,278,lost,2,2,0
644659,258270,KRX,8185,won,2,2,0
644659,258270,NS,11060,lost,0,4,1
644659,258271,NS,11060,won,0,3,0
644659,258271,KRX,8185,lost,2,2,0
644659,258272,KRX,8185,won,2,1,0
644659,258272,NS,11060,lost,0,1,0
644660,258273,GE,6199,won,1,1,0
644660,258273,TS,918,lost,1,3,0
644660,258274,GE,6199,won,1,1,1
644660,258274,TS,918,lost,1,3,0
644661,258276,RRQ,11229,won,0,3,0
644661,258276,VL,878,lost,2,2,0
644661,258277,RRQ,11229,won,1,0,0
644661,258277,VL,878,lost,1,3,0
644662,258279,FS,4050,won,1,1,0
644662,258279,ZETA,5448,lost,1,3,0
644662,258280,FS,4050,won,1,2,0
644662,258280,ZETA,5448,lost,1,3,1
644663,258282,GEN,17,won,1,3,1
644663,258282,PRX,624,lost,1,2,0
644663,258283,PRX,624,won,1,1,0
644663,258283,GEN,17,lost,1,3,0
644663,258284,GEN,17,won,2,2,2
644663,258284,PRX,624,lost,0,2,0
